county,city,postal_code
Mombasa County,Mombasa,80100
Kwale County,Ukunda,80400
Kilifi County,Malindi,80200
Tana River County,Hola,70101
Lamu County,Lamu,80500
Taita-Taveta County,Voi,80300
Garissa County,Garissa,70100
Wajir County,Wajir,70200
Mandera County,Mandera,70300
Marsabit County,Marsabit,60500
Isiolo County,Isiolo,60300
Meru County,Meru,60200
Tharaka-Nithi County,Chuka,60400
Embu County,Embu,60100
Kitui County,Kitui,90200
Machakos County,Machakos,90100
Makueni County,Wote,90300
Nyandarua County,Ol Kalou,20303
Nyeri County,Nyeri,10100
Kirinyaga County,Kerugoya,10300
Murang'a County,Murang'a,10200
Kiambu County,Kiambu,00900
Turkana County,Lodwar,30500
West Pokot County,Kapenguria,30600
Samburu County,Maralal,20600
Trans Nzoia County,Kitale,30200
Uasin Gishu County,Eldoret,30100
Elgeyo-Marakwet County,Iten,30700
Nandi County,Kapsabet,30300
Baringo County,Kabarnet,30400
Laikipia County,Nanyuki,10400
Nakuru County,Nakuru,20100
Narok County,Narok,20500
Kajiado County,Kajiado,01100
Kericho County,Kericho,20200
Bomet County,Bomet,20400
Kakamega County,Kakamega,50100
Vihiga County,Mbale,50300
Bungoma County,Bungoma,50200
Busia County,Busia,50400
Siaya County,Siaya,40600
Kisumu County,Kisumu,40100
Homa Bay County,Homa Bay,40300
Migori County,Migori,40400
Kisii County,Kisii,40200
Nyamira County,Nyamira,40500
Nairobi County,Nairobi,00100
